Date, Close/Last, Volume, Open, High, Low
02/21/2020, $29.14, 7465775, $31.5, $31.85, $28.46
02/20/2020, $32.67, 1446479, $32.1, $32.79, $31.82
02/19/2020, $32.12, 1642577, $31.85, $32.54, $31.7801
02/18/2020, $31.71, 1925102, $30.77, $31.745, $30.735
02/14/2020, $30.77, 2374860, $31.01, $31.06, $30.55
02/13/2020, $31.02, 1486436, $31.19, $31.59, $30.89
02/12/2020, $31.34, 1062193, $31.6, $31.69, $31.16
02/11/2020, $31.54, 991695, $31.6, $31.76, $31.24
02/10/2020, $31.57, 1419242, $31.41, $31.65, $30.66
02/07/2020, $31.5, 992739, $31.52, $31.68, $31.14
02/06/2020, $31.65, 1027286, $32.33, $32.49, $31.61
02/05/2020, $32.18, 1163678, $31.3, $32.235, $31.2
02/04/2020, $31.19, 1571970, $31.38, $31.48, $31
02/03/2020, $31.08, 1627628, $31.52, $31.56, $30.84
01/31/2020, $31.51, 1519239, $32.39, $32.45, $31.24
01/30/2020, $32.51, 938055, $32.18, $32.55, $31.9
01/29/2020, $32.43, 802951, $32.59, $32.7199, $32.22
01/28/2020, $32.52, 1716238, $32.03, $32.585, $31.99
01/27/2020, $31.88, 1945463, $31.84, $32, $31.2
01/24/2020, $32.22, 1958203, $32.21, $32.29, $31.87
01/23/2020, $32.3, 1697323, $32.23, $32.31, $31.74
01/22/2020, $32.36, 2174306, $32.15, $32.65, $32.03
01/21/2020, $32.01, 3289030, $32.36, $32.36, $31.45
01/17/2020, $32.43, 1567578, $32.38, $32.44, $31.9
01/16/2020, $32.36, 1521576, $32.36, $32.84, $32.16
01/15/2020, $32.2, 2007081, $31.51, $32.46, $31.51
01/14/2020, $31.63, 2415656, $31.41, $31.79, $31.24
01/13/2020, $31.41, 1515282, $31.24, $31.73, $31.13
01/10/2020, $31.13, 1626379, $30.96, $31.5, $30.59
01/09/2020, $31, 2893042, $32.26, $32.49, $30.91
01/08/2020, $32.11, 2287407, $33.79, $34.05, $32.01
01/07/2020, $33.89, 983047, $33.89, $34.255, $33.6905
01/06/2020, $33.94, 1014519, $33.74, $34.12, $33.61
01/03/2020, $33.92, 1135671, $33.72, $34.1, $33.64
01/02/2020, $34.07, 1158024, $33.96, $34.08, $33.62
12/31/2019, $33.85, 954922, $33.99, $34.185, $33.74
12/30/2019, $34.01, 992490, $34.01, $34.395, $33.95
12/27/2019, $33.99, 1323101, $34.07, $34.33, $33.87
12/26/2019, $33.98, 1701729, $34.16, $34.29, $33.77
12/24/2019, $34, 1754253, $33.8, $34.37, $33.8
12/23/2019, $33.78, 2409887, $34.89, $34.905, $33.66
12/20/2019, $34.86, 3135578, $35.49, $35.74, $34.74
