Date, Close/Last, Volume, Open, High, Low
11/26/2019, $7.9, 4779194, $8.4, $8.4, $7.9
11/25/2019, $8.38, 3561477, $8.08, $8.45, $8.05
11/22/2019, $7.96, 5713837, $7.96, $8.06, $7.47
11/21/2019, $7.94, 4415548, $8.13, $8.33, $7.87
11/20/2019, $8.13, 4162610, $8.49, $8.49, $8.11
11/19/2019, $8.47, 5936068, $8.65, $9.05, $8.4
11/18/2019, $8.47, 7458444, $8.76, $8.79, $8.22
11/15/2019, $8.76, 3231823, $8.98, $8.99, $8.705
11/14/2019, $8.88, 3249350, $8.77, $9.01, $8.67
11/13/2019, $8.8, 6800700, $9.25, $9.28, $8.5356
11/12/2019, $9.28, 2388277, $9.54, $9.62, $9.28
11/11/2019, $9.54, 1642884, $9.55, $9.67, $9.2699
11/08/2019, $9.62, 2389491, $9.37, $9.73, $9.245
11/07/2019, $9.24, 5606558, $9.94, $10.35, $9.12
11/06/2019, $9.69, 1781966, $9.79, $9.86, $9.56
11/05/2019, $9.78, 2294929, $9.79, $10.085, $9.76
11/04/2019, $9.75, 2052770, $9.74, $9.8, $9.4859
11/01/2019, $9.62, 2177702, $9.45, $9.835, $9.33
10/31/2019, $9.37, 1899839, $9.49, $9.54, $9.2
10/30/2019, $9.4, 2827215, $9.78, $9.79, $9.21
10/29/2019, $9.81, 1227739, $9.9, $9.96, $9.74
10/28/2019, $9.91, 1195628, $9.78, $10.06, $9.75
10/25/2019, $9.72, 1571287, $9.58, $9.81, $9.38
10/24/2019, $9.6, 2547463, $9.9, $9.93, $9.33
10/23/2019, $9.87, 2830662, $9.82, $10.14, $9.7247
10/22/2019, $9.76, 2212375, $9.21, $9.91, $9.19
10/21/2019, $9.22, 1805071, $9.43, $9.54, $9.18
