Date, Close/Last, Volume, Open, High, Low
12/26/2019, $1362.47, 1183800, $1346.55, $1363.2, $1345.51
12/24/2019, $1344.43, 673410, $1350.21, $1352.01, $1344.165
12/23/2019, $1350.63, 996967, $1358.73, $1361.854, $1348
12/20/2019, $1351.22, 2513849, $1363.1, $1364, $1350.73
12/19/2019, $1356.44, 1521082, $1351.91, $1357.5259, $1348.7507
12/18/2019, $1351.91, 1166733, $1357, $1359.43, $1350.46
12/17/2019, $1354.89, 1648549, $1362.41, $1364.33, $1350.77
12/16/2019, $1360.7, 1406457, $1355, $1363.53, $1350.61
12/13/2019, $1346.87, 1658684, $1347.9, $1351.35, $1341.66
12/12/2019, $1348.49, 1456466, $1343.21, $1354.58, $1338.2001
12/11/2019, $1344.25, 1024308, $1348.3, $1349.89, $1341.1
12/10/2019, $1342.89, 880430, $1339.94, $1348, $1334
12/09/2019, $1342.99, 1556889, $1338.86, $1357.553, $1336.07
12/06/2019, $1339.39, 1648729, $1332.75, $1342.47, $1331.23
12/05/2019, $1326.96, 1220631, $1327, $1327.98, $1314.32
12/04/2019, $1318.94, 1776392, $1306.1, $1324.27, $1303.0511
12/03/2019, $1294.74, 1480026, $1278.66, $1297.23, $1277.05
12/02/2019, $1288.86, 1328889, $1302.56, $1305.44, $1280.38
11/29/2019, $1304.09, 640069, $1306.6, $1309.95, $1303.23
11/27/2019, $1312.13, 940536, $1315.42, $1317.64, $1309.4742
11/26/2019, $1313, 1097089, $1309.91, $1314.01, $1304.04
11/25/2019, $1305.64, 1179658, $1296.26, $1310.41, $1295.61
11/22/2019, $1293.67, 1388912, $1303, $1306.9, $1289.3626
11/21/2019, $1300.14, 1277338, $1299.25, $1311.12, $1290.75
11/20/2019, $1301.86, 1445870, $1311.36, $1313.21, $1289.21
11/19/2019, $1312.59, 1093629, $1326.63, $1326.63, $1311.77
11/18/2019, $1319.84, 1399374, $1332.34, $1333.92, $1316.16
11/15/2019, $1333.54, 1964955, $1315.05, $1333.54, $1311.89
11/14/2019, $1309.15, 1450039, $1295, $1315.72, $1293.94
11/13/2019, $1296.18, 936085, $1293.18, $1302.52, $1292.147
11/12/2019, $1297.21, 1444342, $1298.57, $1309.35, $1294.24
11/11/2019, $1298.28, 861860, $1304, $1304.9, $1295.8701
11/08/2019, $1309, 1521892, $1301.52, $1317.11, $1301.52
11/07/2019, $1306.94, 2257005, $1294.28, $1322.65, $1293.75
11/06/2019, $1291.01, 1231265, $1290.09, $1292.99, $1282.27
11/05/2019, $1291.44, 1257427, $1291.2, $1297.24, $1289.38
11/04/2019, $1289.61, 1531622, $1276.11, $1292.5, $1276.11
11/01/2019, $1272.25, 1440607, $1265.8, $1273, $1259.71
10/31/2019, $1258.8, 1595154, $1260, $1266.5157, $1249.48
10/30/2019, $1260.7, 1460193, $1255.15, $1268.015, $1250.65
10/29/2019, $1260.66, 2632715, $1276, $1280.8, $1255.61
10/28/2019, $1288.98, 3271411, $1275, $1299.24, $1272.31
10/25/2019, $1264.3, 1355248, $1252, $1268, $1249.15
10/24/2019, $1259.11, 1140478, $1259.11, $1262.9, $1252.35
10/23/2019, $1257.63, 1176281, $1240.21, $1258.04, $1240.21
10/22/2019, $1241.2, 1281821, $1244.48, $1248.73, $1239.85
10/21/2019, $1244.28, 1030085, $1248.7, $1253.51, $1239.99
