Date, Close/Last, Volume, Open, High, Low
01/13/2020, $36.06, 1305677, $35.37, $36.118, $35.26
01/10/2020, $35.36, 1656787, $35.68, $35.745, $35.205
01/09/2020, $35.58, 1341603, $35.68, $35.7, $35.27
01/08/2020, $35.49, 1829134, $35.44, $35.63, $34.97
01/07/2020, $35.54, 2110270, $35.36, $36.08, $35.36
01/06/2020, $35.64, 1833868, $35.57, $35.78, $35.43
01/03/2020, $35.88, 1277581, $35.28, $35.95, $35.28
01/02/2020, $35.735, 1764025, $35.87, $36.13, $35.295
12/31/2019, $35.47, 1946627, $35.29, $35.59, $35.03
12/30/2019, $35.385, 1227910, $36.07, $36.07, $35.295
12/27/2019, $35.95, 1440901, $36.33, $36.5, $35.9
12/26/2019, $36.13, 1195606, $35.89, $36.27, $35.89
12/24/2019, $35.82, 412510, $35.87, $35.96, $35.7
12/23/2019, $35.75, 1197409, $36.05, $36.4, $35.68
12/20/2019, $36.06, 4115253, $35.94, $36.34, $35.6
12/19/2019, $35.8, 3317554, $35.47, $35.835, $34.8386
12/18/2019, $35.61, 4240450, $34.77, $36.31, $34.71
12/17/2019, $34.47, 1584903, $34.53, $34.615, $34.27
12/16/2019, $34.47, 1569666, $34.51, $34.71, $34.39
12/13/2019, $34.125, 1366015, $34.2, $34.36, $33.955
12/12/2019, $34.23, 2545767, $33.92, $34.47, $33.85
12/11/2019, $33.89, 2631770, $33.66, $34.2175, $33.56
12/10/2019, $33.53, 1638444, $33.5, $33.78, $33.11
12/09/2019, $33.51, 2673528, $33.59, $33.97, $33.4551
12/06/2019, $33.59, 3243906, $33.65, $33.7222, $33.56
12/05/2019, $33.6, 2642206, $33.49, $33.65, $33.39
12/04/2019, $33.47, 2414185, $33.47, $33.67, $33.43
12/03/2019, $33.38, 2592902, $33.3, $33.54, $33.11
12/02/2019, $33.66, 2849713, $34.19, $34.78, $33.55
11/29/2019, $34.17, 1725275, $34.65, $34.65, $33.87
11/27/2019, $34.74, 2059870, $34.96, $35.08, $34.35
11/26/2019, $34.86, 2625189, $35.34, $35.67, $34.64
11/25/2019, $35.48, 2772735, $36.3, $36.3883, $35.15
11/22/2019, $36.3, 3549530, $36.1, $36.58, $35.67
11/21/2019, $35.91, 3484131, $36.45, $36.81, $35.66
11/20/2019, $35.48, 1698731, $35.56, $35.9, $35.07
11/19/2019, $35.83, 1408635, $36.96, $36.98, $35.585
11/18/2019, $36.79, 2114472, $35.94, $36.84, $35.66
11/15/2019, $35.95, 1605841, $35.66, $35.95, $35.47
11/14/2019, $35.66, 1075792, $35.63, $36.04, $35.3301
11/13/2019, $35.67, 1613683, $35.6, $35.952, $35.13
11/12/2019, $36.01, 2547211, $36.05, $36.54, $35.83
11/11/2019, $35.97, 2589656, $35.06, $36.32, $34.9
11/08/2019, $35.32, 2285352, $34.55, $35.49, $34
11/07/2019, $34.69, 5566802, $35.99, $36, $33.67
11/06/2019, $33.52, 2464001, $34.68, $35, $33.2
11/05/2019, $34.64, 1451902, $35.11, $35.48, $34.49
11/04/2019, $34.96, 1449061, $34.86, $35.19, $34.73
11/01/2019, $34.86, 1294990, $34.68, $35.1233, $34.23
10/31/2019, $34.38, 1918261, $34.2, $34.51, $33.435
10/30/2019, $34.37, 1399895, $34.28, $34.5, $33.965
10/29/2019, $34.33, 1079254, $34.79, $34.85, $34.3
10/28/2019, $34.93, 1429891, $34.98, $35.27, $34.65
10/25/2019, $34.76, 1443839, $34.15, $35.26, $34.15
10/24/2019, $34.15, 2051547, $34.94, $35.0655, $33.685
10/23/2019, $34.93, 1230907, $35.17, $35.59, $34.54
10/22/2019, $35.12, 1129436, $34.71, $35.42, $34.55
10/21/2019, $34.61, 1225251, $34.9, $35.2, $34.404
